Time,Open,High,Low,Last,Change,%Chg,Volume
06/01/2021,1.42103,1.42472,1.41464,1.41468,-0.00633,-0.45%,168303
06/02/2021,1.41466,1.41828,1.41119,1.41676,0.00208,+0.15%,150354
06/03/2021,1.41677,1.42023,1.4087,1.41014,-0.00662,-0.47%,170817
06/04/2021,1.41013,1.41999,1.4083,1.41527,0.00513,+0.36%,164291
06/07/2021,1.41505,1.419,1.41112,1.41762,0.00235,+0.17%,141679
06/08/2021,1.41761,1.41839,1.41211,1.41525,-0.00237,-0.17%,145517
06/09/2021,1.41525,1.4188,1.41095,1.41132,-0.00393,-0.28%,124072
06/10/2021,1.41131,1.41776,1.40735,1.41758,0.00626,+0.44%,169094
06/11/2021,1.41758,1.41848,1.40936,1.40941,-0.00817,-0.58%,142260
06/14/2021,1.41074,1.41231,1.40704,1.4104,0.00099,+0.07%,115124
06/15/2021,1.41047,1.41278,1.40341,1.40816,-0.00224,-0.16%,138691
06/16/2021,1.40815,1.41324,1.39817,1.39824,-0.00992,-0.70%,172958
06/17/2021,1.39822,1.40079,1.38954,1.39205,-0.00619,-0.44%,198190
06/18/2021,1.39204,1.39437,1.37889,1.37889,-0.01316,-0.95%,203170
06/21/2021,1.38092,1.3936,1.37858,1.39327,0.01438,+1.04%,187416
06/22/2021,1.39326,1.39631,1.38602,1.39465,0.00138,+0.10%,160102
06/23/2021,1.39466,1.40009,1.39234,1.39593,0.00128,+0.09%,162218
06/24/2021,1.39593,1.39858,1.38898,1.39138,-0.00455,-0.33%,169633
06/25/2021,1.39141,1.39344,1.3864,1.38768,-0.0037,-0.27%,146766
06/28/2021,1.38879,1.3939,1.38703,1.388,0.00032,+0.02%,138528
06/29/2021,1.38803,1.38833,1.38137,1.38219,-0.00581,-0.42%,143589
06/30/2021,1.38231,1.38717,1.37985,1.38311,0.00092,+0.07%,159205
07/01/2021,1.38311,1.38334,1.37526,1.3757,-0.00741,-0.54%,160383
07/02/2021,1.37576,1.38435,1.37313,1.38216,0.00646,+0.47%,161740
07/05/2021,1.38291,1.38612,1.38171,1.38404,0.00188,+0.14%,105908
07/06/2021,1.38406,1.38974,1.37731,1.37962,-0.00442,-0.32%,173720
07/07/2021,1.3796,1.3841,1.3754,1.37993,0.00031,+0.02%,184450
07/08/2021,1.3799,1.38038,1.37416,1.37848,-0.00145,-0.11%,212723
07/09/2021,1.3785,1.39053,1.3756,1.38981,0.01133,+0.82%,201891
07/12/2021,1.38948,1.39094,1.38392,1.38735,-0.00246,-0.18%,157132
07/13/2021,1.3874,1.39045,1.38001,1.38073,-0.00662,-0.48%,173517
07/14/2021,1.3807,1.38913,1.38008,1.38584,0.00511,+0.37%,185626
07/15/2021,1.38585,1.38982,1.38048,1.38212,-0.00372,-0.27%,212272
07/16/2021,1.38217,1.38615,1.37556,1.37556,-0.00656,-0.47%,184881
07/19/2021,1.37775,1.37775,1.36545,1.3672,-0.00836,-0.61%,239679
07/20/2021,1.36723,1.36885,1.35718,1.36238,-0.00482,-0.35%,217596
07/21/2021,1.36239,1.37227,1.35908,1.3715,0.00912,+0.67%,184935
07/22/2021,1.3715,1.37867,1.36902,1.3766,0.0051,+0.37%,183106
07/23/2021,1.37659,1.37794,1.37199,1.37398,-0.00262,-0.19%,161850
07/26/2021,1.37588,1.38329,1.3737,1.38161,0.00763,+0.56%,163043
07/27/2021,1.38159,1.38935,1.37667,1.38732,0.00571,+0.41%,178528
07/28/2021,1.38728,1.39103,1.38437,1.38948,0.00216,+0.16%,179013
07/29/2021,1.3894,1.39812,1.38926,1.39585,0.00637,+0.46%,141941
07/30/2021,1.39586,1.39831,1.38877,1.38977,-0.00608,-0.44%,150758
08/02/2021,1.38976,1.39323,1.38733,1.38733,-0.00244,-0.18%,133787
08/03/2021,1.38728,1.39382,1.38728,1.39123,0.0039,+0.28%,143868
08/04/2021,1.39125,1.3957,1.38852,1.38876,-0.00247,-0.18%,138867
08/05/2021,1.38875,1.39481,1.38721,1.39245,0.00369,+0.27%,145138
08/06/2021,1.3924,1.39324,1.38609,1.38687,-0.00558,-0.40%,128847
08/09/2021,1.38796,1.38937,1.38412,1.38453,-0.00234,-0.17%,131336
08/10/2021,1.3845,1.38717,1.38276,1.38349,-0.00104,-0.08%,122815
08/11/2021,1.38354,1.3887,1.38031,1.38593,0.00244,+0.18%,125534
08/12/2021,1.38591,1.38782,1.37945,1.38042,-0.00551,-0.40%,114220
08/13/2021,1.38043,1.38747,1.37912,1.38638,0.00596,+0.43%,103415
08/16/2021,1.38524,1.38771,1.38281,1.38401,-0.00237,-0.17%,114351
08/17/2021,1.38404,1.38443,1.37262,1.37342,-0.01059,-0.77%,136709
08/18/2021,1.37348,1.37849,1.37253,1.37507,0.00165,+0.12%,127848
08/19/2021,1.37506,1.37566,1.36309,1.36325,-0.01182,-0.86%,157692
08/20/2021,1.3633,1.36428,1.36019,1.36237,-0.00088,-0.06%,131246
08/23/2021,1.36224,1.37317,1.36108,1.37082,0.00845,+0.62%,122722
08/24/2021,1.37077,1.37469,1.36939,1.37269,0.00187,+0.14%,116518
08/25/2021,1.37268,1.37663,1.36968,1.37613,0.00344,+0.25%,119574
08/26/2021,1.37615,1.37672,1.36891,1.36982,-0.00631,-0.46%,131450
08/27/2021,1.36983,1.37801,1.36795,1.37541,0.00559,+0.41%,149078
08/30/2021,1.37576,1.37747,1.37339,1.37575,0.00034,+0.02%,99584
08/31/2021,1.37576,1.38067,1.37427,1.37506,-0.00069,-0.05%,158222
09/01/2021,1.37508,1.37978,1.37306,1.37672,0.00166,+0.12%,136160
09/02/2021,1.37673,1.38392,1.37667,1.38316,0.00644,+0.47%,122261
09/03/2021,1.38316,1.38911,1.38069,1.38343,0.00027,+0.02%,140687
09/06/2021,1.38611,1.38664,1.38178,1.38327,-0.00016,-0.01%,98195
09/07/2021,1.38325,1.3856,1.37676,1.37834,-0.00493,-0.36%,148946
09/08/2021,1.37832,1.37898,1.37264,1.37702,-0.00132,-0.10%,156075
09/09/2021,1.37702,1.38625,1.37527,1.3833,0.00628,+0.46%,162687
09/10/2021,1.3833,1.38883,1.38093,1.38093,-0.00237,-0.17%,150755
09/13/2021,1.38434,1.38505,1.3797,1.38317,0.00224,+0.16%,138288
09/14/2021,1.38313,1.39122,1.38031,1.38066,-0.00251,-0.18%,154484
09/15/2021,1.38069,1.38533,1.37919,1.383,0.00234,+0.17%,143741
09/16/2021,1.38303,1.38513,1.37644,1.37793,-0.00507,-0.37%,134938
09/17/2021,1.37801,1.38123,1.37188,1.37273,-0.0052,-0.38%,151744
09/20/2021,1.3748,1.3748,1.36408,1.36441,-0.00832,-0.61%,153380
09/21/2021,1.36438,1.36927,1.36411,1.36559,0.00118,+0.09%,168222
09/22/2021,1.3656,1.36886,1.36088,1.36109,-0.0045,-0.33%,185464
09/23/2021,1.3611,1.37503,1.3611,1.37191,0.01082,+0.79%,185477
09/24/2021,1.37192,1.37355,1.36474,1.36636,-0.00555,-0.40%,149913
09/27/2021,1.36628,1.37282,1.36569,1.3697,0.00334,+0.24%,159482
09/28/2021,1.36963,1.37164,1.35206,1.3529,-0.0168,-1.23%,200080
09/29/2021,1.35285,1.35538,1.34117,1.34238,-0.01052,-0.78%,194043
09/30/2021,1.34238,1.35164,1.34157,1.34702,0.00464,+0.35%,194043
10/01/2021,1.34702,1.35751,1.34335,1.35434,0.00732,+0.54%,228488
10/04/2021,1.35383,1.36395,1.35317,1.36009,0.00575,+0.42%,185350
10/05/2021,1.36006,1.36469,1.35843,1.36207,0.00198,+0.15%,178371
10/06/2021,1.36207,1.36304,1.35439,1.35795,-0.00412,-0.30%,211766
10/07/2021,1.35796,1.36374,1.35704,1.36114,0.00319,+0.23%,166821
10/08/2021,1.36113,1.36563,1.35833,1.36065,-0.00049,-0.04%,175084
10/11/2021,1.36391,1.36732,1.35839,1.35929,-0.00136,-0.10%,147804
10/12/2021,1.35931,1.36365,1.35689,1.35847,-0.00082,-0.06%,162878
10/13/2021,1.35848,1.36642,1.35751,1.36567,0.0072,+0.53%,181032
10/14/2021,1.3657,1.37339,1.36531,1.36705,0.00138,+0.10%,142102
10/15/2021,1.36703,1.37727,1.36667,1.37348,0.00643,+0.47%,154386
